업소명,주요메뉴,리뷰,위치,최근 한달간 블로그 리뷰 개수
한강호프,"맥주,호프",맛있어요 친절해요 함께해요 ~~♡♡,,10건
한강호프,"맥주,호프",동네에 있는 작으마한 곳,,10건
한강호프,"맥주,호프",감사합니다,,10건
한강호프,"맥주,호프",맛있어요 친절합니다 함께해요 ~~♡♡,,10건
한강호프,"맥주,호프",맛있어요 친절합니다 함께해요 ~~♡♡,,10건
한강호프,"맥주,호프",좋아요,,10건
뚝배기 양평해장국 신대방점,해장국,양평해장국 9000원. 맛있어요,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,양평해장국 맛있고 김치좋아요,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,배달시켜먹음,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,질 좋은 양평해장국 맛볼 수 있어 좋았어요. 딱히 친절하진 않아요,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,항상주문해요 맛있어요,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,해장국이시원하고깔끔합니다,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,맛있어요  자주찾는맛집이에요,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,굿,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,굿,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
뚝배기 양평해장국 신대방점,해장국,굿,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건
원조꼬끼오숯불통닭,"치킨,닭강정",가격이 계속 올라 아쉬워요~,서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정",주민 추천받고 갔어요 넘 좋아요,서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정","오랜만에 방문♡ 사장님 사모님♡ 오늘도 역시 맛있게 잘 먹었습니다~   늦었지만 새해복 많이 받으시고~ 올해에는 더 건강하시고 행복하시고  
즐거운 일들만 가득하세요>_<♡ 항상 감사합니다 어머님 아버님^^",서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정",굿,서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정",바베큐치킨 맛집이에요,서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정",옛날부터 유명,서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정","오늘은 포장♡ 겁나맛잇쪼>_<♡
어머님 아버님~ 
오늘도 너무 맛있게 잘먹었습니다~🥰",서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정",옛날느낌나는 가게예요~숯불구이라 좋아요,서울특별시 동작구 서달로10길 6 (흑석동),0건
원조꼬끼오숯불통닭,"치킨,닭강정","손수 숯불로 구워주시는 통닭과 양념이 어우러지면 더할나위 없는 맥주안주에요👍
매장은 옛날 인테리어 그대로 유지하시는 것 같고 넓지 않은 편입니다.",서울특별시 동작구 서달로10길 6 (흑석동),0건
