업소명,주요메뉴,리뷰,위치,최근 한달간 블로그 리뷰 개수
용마골,닭요리,"이모님 손맛이 좋은 곳
간도 적당하고 밑반찬들도 맛있어서 좋아요
자주 갈게요",서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,맛있어요 ◡̈,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,닭도리탕 맛있게 먹고 볶음밥~넘 맛있어요 ~👍,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,음식이 맛있어요.,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,😀,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,좋아요,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,굿,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,순대국에 제일맛있어요,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,파김치 맛있어요,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,"엄마의 손맛! 옹기항아리 같은 그릇에 맛깔스런 닭볶음탕! 나물반찬, 김치, 진짜 다 맛있어요~ 다먹고 봌음밥도 쵝오!",서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,정식이 맛있어요,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,맛나여,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,좋아용,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,완전 어마어마한 맛집입니다,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,good place,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,"#건강#보양#코로나극복#백숙 
친정집 같은 분위기와 인공감미료없는 정직한 맛... 건강해진 느낌이에요",서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,"능이백숙이 맛나요!
비도 오는데 보신 제대로 했네요
추천~",서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,닭볶음탕맛집,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,복날 능이삼계탕 정말 맛있게 잘 먹었습니다.,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,맛있어요,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,맛있게 닭볶음탕이랑 라면사리 볶음밥까지 1석3조였어요,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,맛나게 잘먹었어요~,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,제 취향은 아니였던것 같아요~,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,닭곰탕! 파김치 지존입니다,서울특별시 동작구 등용로 17 (상도동),0건
용마골,닭요리,좋아요 ,서울특별시 동작구 등용로 17 (상도동),0건
꿈꾸는 포장마차,포장마차,전이 진짜 바삭하고 맛있었고 곱창전골이랑 소주랑 잘 어울렷어요,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,맛있고 분위기도 너무좋아요 :),서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,"기본으로 주시는 전 너무 맛있어요!
사장님도 친절하시고 먹는 법도 자세히 설명해주시더라고요! 칼칼하게 해달라시면 매콤하게 해주시는데 정말 맛있었어요! 기본으로 우동 사리 조금 들어있으니 참고하세요!",서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,예 존맛ㅋㅋㅋㅋ 짭짤 술 무한,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,굿,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,맛있어요!!,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,좋아요,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,좋아요,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,연체동물 별로 안 좋아해서 긴가민가 했는데 진짜 맛있어요 술 안주로 정말 짱입니다..... 볶음밥 고슬고슬 꼭 볶아드세요...,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,언제 먹어도 맛있어요,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,굿,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,낙지한마리 통으로 들어가요~~,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,"요즘 사당  젊은분들이 많이찾는  꿈꾸는포장마차
,사당광안리,요란한 부엌 등  술값이 다 그 정도예요",서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,낙곱전골 맛있어요,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,맛은 있는데 술 가격이 비싸네요ㅋ,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,"서비스로 나오는 전 맛있었어요!
근데 낙곱전골은 ㅠㅠ…",서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,ㅇ,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,낙곱 중자 맛있어요,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,굿,서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,"사장님 친절하시네요~~
비오는날 먹기 좋네요",서울특별시 동작구 동작대로7길 35 (사당동),3건
꿈꾸는 포장마차,포장마차,전골나오기 전에 나오는 전 맛있어요!,서울특별시 동작구 동작대로7길 35 (사당동),3건
