,names,menu,loc,review_num,avg_score
0,업소명,주요메뉴,위치,최근 한달간 블로그 리뷰 개수,0.0
1,한강호프,"맥주,호프",,10건,1.0
7,뚝배기 양평해장국 신대방점,해장국,"서울특별시 동작구 보라매로 99, 1층 (신대방동)",0건,1.0
17,원조꼬끼오숯불통닭,"치킨,닭강정",서울특별시 동작구 서달로10길 6 (흑석동),0건,0.8
27,늘보리 냉삼집,돼지고기구이,서울특별시 동작구 상도로26길 4 (상도동),0건,1.0
37,파라다이스,한식,서울특별시 동작구 사당로 38 (상도동),83건,1.0
47,동키치킨,"치킨,닭강정","서울특별시 동작구 현충로 115, 명수대상가 A동 1층 6호 (흑석동)",1건,0.8
57,갈채,"맥주,호프",서울특별시 동작구 사당로 230 (사당동),67건,1.0
59,동화장,중식당,서울특별시 동작구 여의대방로24길 137 (대방동),0건,0.9
69,화르르,닭발,서울특별시 동작구 흑석로 111 (흑석동),3건,1.0
79,맛의 명가,한식,서울특별시 동작구 사당로16가길 106 (사당동),21건,0.9
89,BBQ치킨흑석점,"치킨,닭강정",서울특별시 동작구 서달로10길 8 (흑석동),0건,0.9
99,전통의짬뽕,중식당,서울특별시 동작구 여의대방로22길 132 (신대방동),9건,0.8
109,둘둘치킨,"치킨,닭강정",서울특별시 동작구 사당로 216 (사당동),2건,1.0
119,황금오리,오리요리,"서울특별시 동작구 신대방길 112-2 (신대방동, 지하1층)",0건,1.0
132,원조소금구이,한식,서울특별시 동작구 서달로14길 16 (흑석동),1건,0.7
142,칸꼬시,"맥주,호프",서울특별시 동작구 성대로 36 (상도동),0건,1.0
153,단비분식,한정식,서울특별시 동작구 흑석로9길 13 (흑석동),2건,1.0
163,백채신대방삼거리(백채김치찌개),"찌개,전골",서울특별시 동작구 국사봉길 13 (상도동),1건,0.7
173,오이시,돈가스,서울특별시 동작구 만양로14가길 30-3 (노량진동),4건,0.9
183,조인행닭갈비,닭갈비,서울특별시 동작구 여의대방로24길 89-1 (대방동),0건,1.0
193,이가초밥,"초밥,롤",서울특별시 동작구 국사봉1길 4 (상도동),3건,0.9
203,페리카나,"치킨,닭강정",서울특별시 동작구 서달로10길 14-1 (흑석동),3건,1.0
213,한솔쌈밥시골보리밥,쌈밥,서울특별시 동작구 성대로2길 7 (상도동),0건,0.9
223,말로(Mallo),바(BAR),"서울특별시 동작구 상도로 95, 지하1층 (상도동)",0건,0.8
228,이고시다,"매운탕,해물탕",,0건,0.8
238,독도참치,생선회,서울특별시 동작구 여의대방로24길 141 (대방동),0건,0.9
248,삼삼가마솥돈까스,돈가스,서울특별시 동작구 만양로 90-1 (노량진동),0건,0.8
258,신방통통 낙지,낙지요리,서울특별시 동작구 상도로26길 12 (상도동),0건,0.9
268,우리분식,종합분식,서울특별시 동작구 만양로14가길 18 (노량진동),60건,0.5
272,돌박집&갓갈비,"육류,고기요리",서울특별시 동작구 여의대방로24길 35 (대방동),5건,0.8
282,일진아구찜,"아귀찜,해물찜",서울특별시 동작구 여의대방로24길 93 (대방동),1건,0.7
312,가야,"족발,보쌈",서울특별시 동작구 양녕로 286-1 (상도1동),"2,164건",0.7
322,탕마루,"찌개,전골",서울특별시 동작구 동작대로29가길 10 (사당동),2건,0.9
332,두리김밥,김밥,"서울특별시 동작구 성대로 52, 제지1층 제B08호 (상도동)",1건,1.0
337,써브웨이중앙대점,샌드위치,서울특별시 동작구 흑석로 79 (흑석동),0건,0.5
347,프린스치킨,"치킨,닭강정",서울특별시 동작구 여의대방로 22 (신대방동),3건,1.0
348,맨날술이야,요리주점,"서울특별시 동작구 상도로15길 111-4, 1층 (상도동)",1건,1.0
356,스카이피자,피자,서울특별시 동작구 노량진로6길 86 (노량진동),8건,0.9
376,큰손 갈비,한식,서울특별시 동작구 장승배기로27길 7 (노량진동),2건,1.0
386,섬마을일식식당,일식당,,0건,1.0
396,고기먹으러,돼지고기구이,서울특별시 동작구 흑석로8길 3 (흑석동),288건,1.0
401,상도로3가,포장마차,서울특별시 동작구 상도로61길 40 (상도동),4건,1.0
411,푸라닭 노량진점,"치킨,닭강정","서울특별시 동작구 만양로14길 22-1, 1층 (노량진동)",0건,0.9
421,정직한김치찌개,"찌개,전골",서울특별시 동작구 서달로15길 24 (흑석동),1건,0.8
431,포대포소금구이,"곱창,막창,양",서울특별시 동작구 장승배기로 139 (노량진동),1건,0.8
441,개구쟁이호프,"맥주,호프",서울특별시 동작구 사당로16길 61 (사당동),0건,1.0
442,사당돈,돼지고기구이,서울특별시 동작구 사당로30길 159 (사당동),1건,0.7
452,고바우식당,돼지고기구이,서울특별시 동작구 대림로 42 (신대방동),1건,0.7
462,대방싸리집,"사철,영양탕","서울특별시 동작구 여의대방로26길 24, 201,301호 (대방동)",0건,1.0
472,옥문,중식당,서울특별시 동작구 상도로 148 (상도동),0건,0.6
482,까페 플로르,"카페,디저트",서울특별시 동작구 노량진로14가길 16 (노량진동),0건,1.0
492,다독이네 숯불구이 2호점,"육류,고기요리","서울특별시 동작구 만양로18길 15, 1층 (노량진동)",1건,0.9
502,다성반점,중식당,"서울특별시 동작구 상도로37길 54, 1층 (상도동)",1건,1.0
512,박서방네,한식,서울특별시 동작구 흑석로13길 4-1 (흑석동),5건,0.9
522,상도정,"육류,고기요리",서울특별시 동작구 양녕로 270 (상도1동),0건,0.8571428571428571
529,노들회관,한식,"서울특별시 동작구 노량진로 234, 2층 (본동)",63건,0.9
539,돌쇠와석쇠,돼지고기구이,서울특별시 동작구 솔밭로 110 (사당동),1건,1.0
549,엄마손김밥,김밥,서울특별시 동작구 등용로14길 81 (노량진동),5건,1.0
558,용산순대국,"순대,순댓국",서울특별시 동작구 동작대로29길 11-1 (사당동),3건,1.0
568,방배양곱창,"곱창,막창,양",서울특별시 동작구 동작대로23길 27 (사당동),1건,0.9
578,백채사당점,"찌개,전골",서울특별시 동작구 동작대로7길 10 (사당동),6건,1.0
588,신박사팥죽,죽,서울특별시 동작구 동작대로7길 43 (사당동),1건,1.0
598,맥주창고 오라고 노량진점,"맥주,호프",서울특별시 동작구 노량진로 158 (노량진동),0건,1.0
608,삐삐네분식,종합분식,서울특별시 동작구 여의대방로24나길 2 (대방동),1건,0.75
612,처갓집양념치킨 대방점,"치킨,닭강정","서울특별시 동작구 등용로 72, 1층 (대방동)",0건,1.0
622,별법 동태탕.찜,"해물,생선요리",서울특별시 동작구 장승배기로10길 9 (상도동),0건,1.0
630,크레이지 팜(Crazy Farm),바(BAR),서울특별시 동작구 동작대로27가길 15 (사당동),0건,1.0
639,배부장찌개,"찌개,전골",서울특별시 동작구 사당로30길 115 (사당동),4건,0.9
649,전망 좋은집,"맥주,호프",서울특별시 동작구 노들로2길 9-4 (노량진동),1건,0.9
659,28청춘호프포차,"맥주,호프",서울특별시 동작구 사당로 16 (상도동),0건,1.0
664,블루힐,"맥주,호프",서울특별시 동작구 사당로 14 (상도동),4건,1.0
674,천년약속,중식당,서울특별시 동작구 노량진로 124 (노량진동),0건,0.8
684,은주식당,한식,서울특별시 동작구 신대방2길 2-5 (신대방동),5건,1.0
694,수연갈비,"육류,고기요리",서울특별시 동작구 동작대로27다길 5 (사당동),3건,0.9
704,케리홈치킨,"치킨,닭강정",서울특별시 동작구 장승배기로 76 (상도동),0건,1.0
710,형제식당,"육류,고기요리",서울특별시 동작구 상도로34길 12 (상도동),1건,1.0
720,팔각도 이수역점,닭갈비,서울특별시 동작구 동작대로27다길 12 (사당동),4건,0.9
730,신소몰이,"곱창,막창,양",서울특별시 동작구 동작대로27길 16-6 (사당동),0건,1.0
740,진국설렁탕,"곰탕,설렁탕",서울특별시 동작구 장승배기로21길 2 (노량진동),1건,1.0
750,실비촌,한식,서울특별시 동작구 여의대방로 250 (대방동),0건,0.9
760,부대통령뚝배기,"찌개,전골","서울특별시 동작구 만양로 100 (노량진동,(지상1층 1호))",0건,0.8
770,거북정식당,한식,서울특별시 동작구 사당로 284 (사당동),0건,0.8
780,라화쿵부,중식당,서울특별시 동작구 흑석로13마길 65 (흑석동),1건,0.5
784,원할머니보쌈 이수역점,"족발,보쌈",서울특별시 동작구 동작대로27나길 22 (사당동),0건,1.0
794,강원도감자탕.쌈밥,감자탕,서울특별시 동작구 사당로30길 108 (사당동),0건,0.9
804,맛기행 사계절,샤브샤브,서울특별시 동작구 사당로30길 163 (사당동),0건,1.0
814,태능솔밭갈비,"육류,고기요리",서울특별시 동작구 상도로37길 7 (상도1동),0건,0.9
824,하우돈,"곱창,막창,양",서울특별시 동작구 여의대방로24가길 5 (대방동),0건,1.0
834,서일순대국,"순대,순댓국",서울특별시 동작구 여의대방로 126 (신대방동),3건,0.7
844,양평감자탕,감자탕,서울특별시 동작구 서달로15길 16 (흑석동),5건,0.9
854,송이족발,"족발,보쌈",서울특별시 동작구 사당로17길 11 (사당동),1건,1.0
859,흥부네,"슈퍼,마트","서울특별시 동작구 등용로 124 (대방동,외 3필지)",5건,1.0
869,이도령양념통닭,"치킨,닭강정",서울특별시 동작구 등용로14길 50 (대방동),0건,1.0
881,60계치킨(노량진점),"치킨,닭강정",서울특별시 동작구 만양로14길 24 (노량진동),0건,0.9
891,히로,이자카야,서울특별시 동작구 사당로 188 (사당동),32건,1.0
901,아는 포차,포장마차,서울특별시 동작구 동작대로7길 11 (사당동),5건,0.8
911,양푼이김치찌개,"찌개,전골",서울특별시 동작구 흑석로13마길 65-3 (흑석동),1건,0.8
921,교촌치킨 상도터널점,"치킨,닭강정","서울특별시 동작구 상도로 306, 1층 (상도동)",0건,0.4
931,노가리호프,"맥주,호프",서울특별시 동작구 성대로 80 (상도동),4건,1.0
941,파도,생선회,서울특별시 동작구 여의대방로24차길 48 (신대방동),621건,0.9
951,용구비어,"맥주,호프",서울특별시 동작구 사당로 20 (상도동),0건,1.0
961,두루찌개3대,"찌개,전골","서울특별시 동작구 노량진로8길 55, 1층 101호 (노량진동, 더 클래식 동작)",0건,0.9
971,한앤둘,"치킨,닭강정",서울특별시 동작구 상도로62길 5 (상도동),0건,1.0
980,고향일식,일식당,서울특별시 동작구 장승배기로20가길 2 (노량진동),4건,0.9
990,국풍,중식당,서울특별시 동작구 등용로14길 82 (노량진동),3건,1.0
1000,정원조 닭한마리,닭요리,서울특별시 동작구 동작대로27다길 11 (사당동),0건,0.8
1010,수정횟집,생선회,서울특별시 동작구 상도로12길 20 (대방동),0건,0.9
1020,현미고기집,"곱창,막창,양",서울특별시 동작구 신대방길 108 (신대방동),1건,1.0
1027,명가왕족발보쌈,"족발,보쌈",서울특별시 동작구 만양로16길 31 (노량진동),2건,0.9
1037,황토가마솥설렁탕,한식,서울특별시 동작구 동작대로29가길 8 (사당동),1건,0.6
1047,융선,양꼬치,서울특별시 동작구 동작대로7길 91 (사당동),1건,0.8
1057,김가보쌈,"족발,보쌈",서울특별시 동작구 여의대방로24가길 10 (대방동),0건,1.0
1067,호우양꼬치,양꼬치,서울특별시 동작구 여의대방로24길 131 (대방동),3건,0.7
1077,달기랑오리랑,닭요리,서울특별시 동작구 솔밭로 102-1 (사당동),0건,0.9
1087,산수정,"육류,고기요리",서울특별시 동작구 동작대로3길 17 (사당동),0건,1.0
1097,한마루가든,한식,서울특별시 동작구 여의대방로 250 (대방동),0건,0.9
1107,오센,이자카야,서울특별시 동작구 동작대로27나길 8 (사당동),8건,0.9
1117,원조부안집 이수점,"육류,고기요리",서울특별시 동작구 동작대로27가길 39 (사당동),0건,0.7
1127,군선생 이수역 9번 출구점,요리주점,서울특별시 동작구 동작대로23길 17 (사당동),0건,0.9
1137,마을광장,"전통,민속주점",서울특별시 동작구 흑석로 111 (흑석동),85건,1.0
1143,고향쌀밥집,한식,서울특별시 동작구 사당로17가길 12 (사당동),7건,1.0
1147,영풍치킨,"치킨,닭강정",서울특별시 동작구 사당로13길 6 (사당동),2건,0.8
1157,하우스홀드,"맥주,호프",서울특별시 동작구 장승배기로27길 21 (노량진동),1건,0.8
1162,박리김밥,김밥,서울특별시 동작구 등용로14길 67 (노량진동),0건,0.8
1172,둘리식당,한식,"서울특별시 동작구 매봉로 134, 309호 (본동, 신동아(아)상가)",2건,1.0
1177,백가네해물칼국수,"칼국수,만두",서울특별시 동작구 노량진로8길 28 (노량진동),0건,0.7
1187,59쌀피자,피자,서울특별시 동작구 여의대방로 256 (대방동),0건,0.9
1197,역전할머니맥주 신대방삼거리점,"맥주,호프",서울특별시 동작구 여의대방로24길 141 (대방동),2건,0.5
1207,대박,"맥주,호프",서울특별시 동작구 흑석로 111-5 (흑석동),"1,122건",0.8333333333333334
1213,소본가,소고기구이,서울특별시 동작구 등용로 108 (대방동),0건,1.0
1218,물바우,생선회,서울특별시 동작구 서달로14길 16 (흑석동),0건,0.9
1228,황금어장,일식당,"서울특별시 동작구 노들로 674, 지상2층 6호 (노량진동)",2건,0.7
1238,진남회집,생선회,"서울특별시 동작구 노들로 674, 지상2층 13호 (노량진동)",0건,1.0
1248,삼칠포차,포장마차,서울특별시 동작구 만양로 106 (노량진동),0건,1.0
1258,연어이야기,일식당,"서울특별시 동작구 흑석로 115, 2층 (흑석동)",0건,0.9
1268,파즈,요리주점,서울특별시 동작구 여의대방로 126 (신대방동),0건,1.0
1276,툇마루,"백숙,삼계탕",서울특별시 동작구 사당로13길 6 (사당동),10건,0.875
1284,회승관,중식당,서울특별시 동작구 신대방3길 68 (신대방동),0건,0.8888888888888888
1293,대성관,중식당,서울특별시 동작구 여의대방로 204-1 (대방동),3건,0.6
1303,홍루이젠흑석중앙대점,샌드위치,서울특별시 동작구 흑석로 115 (흑석동),0건,0.9
