업소명,주요메뉴,리뷰,위치,최근 한달간 블로그 리뷰 개수
피자마루,피자,맛있어요! 미리 예약하고 가면 안기다려서 먼저 예약하고 가면 좋을 것 같아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,가성비 넘 좋구 맛도 좋아요. 무엇보다 치즈도 넉넉해서 넘 좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,사장님이 너무 손님 응대를 잘해주세요 피자도 사장님 정성이 듬북 들어가서 맛있어요 꿀고구마 강추합니다,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,ㅈㅎㅎ아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있어용,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,"주인이 바껴선지 직원이 바뀐건지
한두달전부터 너무 맛없어졌네요
재료를아끼나..",서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,"가성비가 좋아 집에갈때 자주 포장 먹지만 리뷰는 귀찮아서 안쓰는데 오늘은 개선되셨으면 더 좋을거 같아 남겨요  바쁘셔서 그런지 일하시는분
이 바뀌셔서 그런지는 모르겠지만 피자가.. 기존에 먹을때와 많이 다른 느낌이었어요 도우는 또 왜이리큰지.. 마트에서 파는 냉동피냉보다 별로였
어요.. 남은건 항상 냉동했다가 먹었는데 처음으로 남은거 버렸네요ㅠㅠ.. 동네니까 다음에 또 먹긴할텐데 다음에도 이러면 그땐 고민이네...",서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,굿,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,so.. so..,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,"포테이토 피자, 맛있게 먹었어요",서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,집앞이라 피자 먹고 싶을때 포장 하는 곳입니다. 가성비 좋아요^^,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있어요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,^^,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,가성비 아주 좋앙ᆢ,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,가성비가 좋고 맛있어요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있어요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,가격도 착하고 친절하시고 맛도 돟아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,굿,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,콤비네이션에 치즈크러스트 추가 맛나요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있어요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있어요!,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있게 잘 먹었습니다~,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,굿,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,굿,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있어요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,조아욤,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,성대시장 피자마루,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,굿,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,^^,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,굿굿,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,굿,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,그냥 그래요..,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,가성비가좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,맛있어요^^,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,무난무난 맛있음,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,감사합니다,서울특별시 동작구 양녕로 190 (상도동),2건
피자마루,피자,좋아요,서울특별시 동작구 양녕로 190 (상도동),2건
