,names,menu,loc,review_num,avg_score
0,업소명,주요메뉴,위치,최근 한달간 블로그 리뷰 개수,0.0
1,용마골,닭요리,서울특별시 동작구 등용로 17 (상도동),0건,0.9615384615384616
27,꿈꾸는 포장마차,포장마차,서울특별시 동작구 동작대로7길 35 (사당동),3건,0.8545454545454545
82,팔공티 중앙대점,차,서울특별시 동작구 흑석로 97 (흑석동),0건,0.8571428571428571
117,청춘싸롱(사당1호점),"맥주,호프",서울특별시 동작구 동작대로1길 42 (사당동),0건,0.9210526315789473
155,고기사랑 정육식당,정육식당,서울특별시 동작구 현충로 100-1 (흑석동),5건,0.9
165,본죽&비빔밥cafe 중앙대점,죽,서울특별시 동작구 흑석로 91 (흑석동),"2,687건",0.92
265,김밥천국 3동점,분식,"서울특별시 동작구 사당로23길 164, 1층동 101호 (사당동)",0건,0.975
305,본죽대림점,죽,서울특별시 동작구 시흥대로 658 (신대방동),0건,0.94
405,와우치킨바베큐,"치킨,닭강정","서울특별시 동작구 대림로 29, 1층 (신대방동)",0건,1.0
415,노다지,"사철,영양탕","서울특별시 동작구 상도로 304, 1층 (상도동)",10건,0.967741935483871
477,그린비,"맥주,호프",서울특별시 동작구 사당로 297-6 (사당동),3건,0.9285714285714286
491,스시준,일식당,서울특별시 동작구 만양로14길 20 (노량진동),0건,0.9
591,수제한식당,한식,서울특별시 동작구 장승배기로1길 20 (상도동),51건,1.0
601,달비촌 대구막창,"곱창,막창,양",서울특별시 동작구 동작대로1길 52 (사당동),0건,0.8842105263157894
696,뉴욕샌드위치남성역점,샌드위치,서울특별시 동작구 사당로 206 (사당동),0건,0.8823529411764706
713,일이삼식당,한식,"서울특별시 동작구 흑석로13마길 65-3, 1층 (흑석동)",0건,0.8947368421052632
732,장독대,반찬가게,서울특별시 동작구 흑석로 112 (흑석동),26건,0.86
832,김밥매니아,김밥,서울특별시 동작구 흑석로 24-1 (상도동),1건,0.9
842,남도홍어,"해물,생선요리","서울특별시 동작구 상도로 140, 1층 (상도동)",2건,0.9615384615384616
868,옥이네 손두부,두부요리,"서울특별시 동작구 사당로 224-1 (사당동,2층)",1건,0.96
893,바닷가,생선회,서울특별시 동작구 동작대로13길 8 (사당동),343건,0.9761904761904762
935,성대생우동짜장,국수,서울특별시 동작구 상도로 103 (상도동),1건,0.7922077922077922
1012,봉구비어,"맥주,호프",서울특별시 동작구 상도로62길 37 (상도동),3건,0.9583333333333334
1060,여수돌산회집,생선회,서울특별시 동작구 장승배기로 130 (노량진동),0건,0.9230769230769231
1125,육쌈냉면,냉면,서울특별시 동작구 흑석로 90 (흑석동),7건,0.68
1225,대박분식,종합분식,서울특별시 동작구 만양로 89 (노량진동),5건,0.7857142857142857
1239,비어킹이수역점,"맥주,호프","서울특별시 동작구 동작대로27다길 2 (사당동, 2층)",1건,0.9038461538461539
1291,순 칼국수,"칼국수,만두",서울특별시 동작구 등용로14길 66 (노량진동),13건,0.9333333333333333
1321,낙지랑갈비랑,"해물,생선요리",서울특별시 동작구 양녕로25길 2-4 (상도동),0건,0.8
1331,영주네 매운갈비찜,"육류,고기요리",서울특별시 동작구 동작대로29가길 30 (사당동),0건,0.75
1335,학교종이땡땡땡,종합분식,서울특별시 동작구 흑석로13마길 65-9 (흑석동),2건,0.6923076923076923
1348,황제소고기국밥,국밥,서울특별시 동작구 동작대로29길 11 (사당동),3건,0.9402985074626866
1415,고기싸롱 흑석동중앙대점,"육류,고기요리","서울특별시 동작구 흑석로 106-5 (흑석동,(2층))",0건,0.94
1515,레이니,"맥주,호프","서울특별시 동작구 현충로 102, 지상3층 (흑석동)",19건,1.0
1528,이삭,토스트,서울특별시 동작구 동작대로25길 40 (사당동),78건,0.83
1628,이야네,닭볶음탕,서울특별시 동작구 사당로30길 91 (사당동),0건,1.0
1653,맥주마트,"맥주,호프","서울특별시 동작구 동작대로27가길 31 (사당동, 2층)",0건,1.0
1662,나라비우동,"우동,소바","서울특별시 동작구 흑석로 102, 지하109동 2호 (흑석동,중앙대학교병원)",1건,0.7297297297297297
1699,영스낵,종합분식,서울특별시 동작구 흑석로 102 (흑석동),1건,0.8
1709,해미수산회정식,생선회,서울특별시 동작구 사당로 295 (사당동),0건,0.86
1809,치킨마루,"치킨,닭강정",서울특별시 동작구 만양로14길 42 (노량진동),0건,0.9591836734693877
1858,맷돌부페,한식,"서울특별시 동작구 보라매로5길 51 (신대방동,롯데관악타워 지하 118, 119호)",0건,0.8
1868,해물포차꼴통,생선회,"서울특별시 동작구 장승배기로16길 162, 백호독서실 지하1층 (노량진동)",1건,0.89
1968,형가원보쌈,"족발,보쌈",서울특별시 동작구 동작대로1길 33 (사당동),2건,0.8947368421052632
2025,고심(고독한 심야식당),요리주점,서울특별시 동작구 동작대로3길 27 (사당동),0건,0.8181818181818182
2069,황새골손칼국수,"칼국수,만두",서울특별시 동작구 상도로37길 74 (상도동),0건,0.96
2169,본죽신대방삼거리역점,죽,서울특별시 동작구 상도로 77 (대방동),0건,0.85
2269,천하장사,"곱창,막창,양",서울특별시 동작구 흑석로 106-7 (흑석동),15건,1.0
2279,노들치킨,"치킨,닭강정","서울특별시 동작구 노량진로 250, 1층 (본동)",14건,1.0
2285,아영이네,한식,서울특별시 동작구 상도로67길 27 (상도동),31건,0.95
2305,맛삼고,돼지고기구이,서울특별시 동작구 여의대방로 134-1 (대방동),0건,1.0
2320,오감만족,포장마차,서울특별시 동작구 장승배기로23길 1 (노량진동),10건,0.9454545454545454
2375,신참떡볶이 상도역점,분식,"서울특별시 동작구 상도로 283, 1층 (상도1동)",0건,0.8888888888888888
2447,봉구스밥버거,분식,서울특별시 동작구 상도로61길 35 (상도동),2건,0.9444444444444444
2519,삼거리빈대떡,"전,빈대떡",서울특별시 동작구 노량진로8길 16 (노량진동),2건,0.8823529411764706
2536,준우식당,"백반,가정식","서울특별시 동작구 등용로 93, 1층 (대방동)",0건,0.9615384615384616
2562,만선회수산,생선회,서울특별시 동작구 흑석로13가길 25 (흑석동),0건,1.0
2586,궁중삼계탕,"백숙,삼계탕","서울특별시 동작구 보라매로5길 43 (신대방동,117호 118호)",1건,0.93
2686,부어치킨,"치킨,닭강정",서울특별시 동작구 성대로 56 (상도동),1건,0.8461538461538461
2699,거구회관,한식,"서울특별시 동작구 등용로14길 76, 장혜경소아과의원 (노량진동)",0건,0.9
2709,구구향훠궈,샤브샤브,"서울특별시 동작구 동작대로27다길 26 (사당동,102호)",0건,0.7391304347826086
2755,꽃다운주점 이수점,요리주점,"서울특별시 동작구 동작대로27다길 26 (사당동,이수프라자 105호)",1건,0.8846153846153846
2807,봉쥬비어,"맥주,호프",서울특별시 동작구 동작대로27길 15 (사당동),1건,0.7
2817,셰프앤유,한식,"서울특별시 동작구 보라매로5길 20 (신대방동,(지하1층))",0건,1.0
2827,그냥갈수없잖아,"맥주,호프",서울특별시 동작구 사당로16가길 89 (사당동),0건,0.9047619047619048
2848,백채김치찌개,"찌개,전골",서울특별시 동작구 상도로61길 35 (상도동),6건,0.8809523809523809
2890,고목생고기,"육류,고기요리",서울특별시 동작구 성대로1길 13-1 (상도동),0건,0.9333333333333333
2905,소문난순대집,"순대,순댓국",서울특별시 동작구 상도로37길 65 (상도동),0건,0.8235294117647058
2922,안(Ann),피자,서울특별시 동작구 흑석로 88 (흑석동),17건,0.9583333333333334
2946,일미리금계찜닭 신대방삼거리역점,찜닭,서울특별시 동작구 보라매로 113 (대방동),0건,0.83
3046,세종대왕숯불갈비,"육류,고기요리",서울특별시 동작구 등용로 2 (상도동),1건,0.92
3146,쑈쌩크,한식,서울특별시 동작구 여의대방로54길 5 (대방동),0건,0.9230769230769231
3159,상도명태명가,한식,서울특별시 동작구 상도로 321 (상도동),0건,0.87
3259,본도시락 중앙대점,"도시락,컵밥",서울특별시 동작구 흑석로 81-4 (흑석동),0건,1.0
3278,한울전집,"전,빈대떡",서울특별시 동작구 국사봉1길 37 (상도동),2건,0.9230769230769231
3317,송탄부대찌개와 즉석떡볶이,종합분식,서울특별시 동작구 상도로41길 12 (상도1동),1건,0.8979591836734694
3366,라무진,양갈비,서울특별시 동작구 동작대로27길 16-5 (사당동),4건,0.7804878048780488
3448,슈퍼피자,피자,"서울특별시 동작구 서달로10길 4, 2층 (흑석동)",25건,1.0
3467,다솔김밥,한식,서울특별시 동작구 사당로30길 72 (사당동),0건,1.0
3494,김밥이맛있는집,김밥,서울특별시 동작구 성대로5길 2 (상도동),3건,0.9512195121951219
3535,본죽,죽,서울특별시 동작구 동작대로 43 (사당동),14건,0.9
3635,사철싱싱회,생선회,서울특별시 동작구 양녕로 253-12 (상도1동),0건,0.9464285714285714
3691,구구팔팔,"맥주,호프",서울특별시 동작구 흑석로7길 7 (흑석동),0건,1.0
3695,승희분식,김밥,서울특별시 동작구 노량진로 24 (대방동),0건,0.8627450980392157
3746,대박곱창볶음,"곱창,막창,양","서울특별시 동작구 등용로14길 82 (노량진동,(지상1층))",0건,0.9423076923076923
3798,명동찌개마을,"찌개,전골","서울특별시 동작구 상도로 177-1, 1층 (상도동)",1건,0.8623853211009175
3897,써브웨이 숭실대점,샌드위치,서울특별시 동작구 사당로 12-1 (상도동),0건,0.81
3997,본스치킨,"치킨,닭강정","서울특별시 동작구 사당로2가길 102 (사당동,LG상가 217호)",0건,0.9
4007,길조,"해물,생선요리",서울특별시 동작구 여의대방로16길 16 (신대방동),6건,1.0
4014,돼지꿈꾸의소,한식,서울특별시 동작구 신대방길 113 (신대방동),0건,1.0
4024,소품은돼지,"육류,고기요리",서울특별시 동작구 상도로15길 143 (상도동),28건,0.93
4124,마당분식,종합분식,서울특별시 동작구 만양로14가길 19 (노량진동),8건,1.0
4131,쌍둥이일품양평해장국,해장국,"서울특별시 동작구 노들로 674, 2층 3호 (노량진동)",0건,0.8979591836734694
4180,맛만나 식당,한식,서울특별시 동작구 동작대로25길 52-8 (사당동),352건,1.0
4190,생오리 회전 숯불구이,오리요리,서울특별시 동작구 사당로14가길 8 (사당동),0건,0.9358974358974359
4268,샹하이,중식당,"서울특별시 동작구 만양로 84 (노량진동,지하11호,12호)",0건,0.9583333333333334
4316,무안수산,생선회,"서울특별시 동작구 동작대로7길 62-1, 1층 (사당동)",3건,0.9354838709677419
4337,용범이네인계동껍데기 이수역점,돼지고기구이,서울특별시 동작구 동작대로25길 22 (사당동),0건,0.935064935064935
4414,본죽(숭실대역점),죽,서울특별시 동작구 상도로 351 (상도동),0건,0.925
4454,서민준밀밭,"칼국수,만두",서울특별시 동작구 동작대로27길 20-4 (사당동),2건,0.9
4524,까르페디엠,"카페,디저트","서울특별시 동작구 만양로14다길 4, 1층 (노량진동)",3건,1.0
4528,재팔이네닭발,닭발,서울특별시 동작구 서달로14길 34 (흑석동),1건,1.0
4538,이강참치,생선회,서울특별시 동작구 사당로 204 (사당동),1건,0.9
4548,한신포차 노량진역점,포장마차,"서울특별시 동작구 만양로 106, 2층 (노량진동)",0건,0.9
4558,가마로강정,"치킨,닭강정",서울특별시 동작구 장승배기로 164 (노량진동),2건,1.0
4568,본죽(남성역점),죽,"서울특별시 동작구 사당로 215 (사당동, 서림빌딩 1층 103호)",0건,1.0
4574,피쉬앤그릴,요리주점,서울특별시 동작구 흑석로9길 5 (흑석동),1건,1.0
4581,김밥이야기,김밥,서울특별시 동작구 양녕로 282 (상도1동),112건,0.9
4591,진부령황태촌,"해물,생선요리","서울특별시 동작구 동작대로27길 6 (사당동,외1필지)",1건,1.0
4601,레알짱본점,한식,"서울특별시 동작구 만양로14길 55 (노량진동,(1,2층))",0건,0.8
4611,달길포차,포장마차,서울특별시 동작구 사당로30길 63 (사당동),0건,1.0
4621,금강산 감자탕,감자탕,서울특별시 동작구 동작대로27길 6 (사당동),0건,0.9
4631,어매순대국,"순대,순댓국","서울특별시 동작구 상도로15길 99, 1층 (상도동)",0건,0.8
4641,여자만민물장어,"장어,먹장어요리",서울특별시 동작구 남부순환로271길 18 (사당동),1건,1.0
4650,신채정 샤브샤브,샤브샤브,서울특별시 동작구 동작대로27길 16-7 (사당동),0건,0.6
4660,명성웃음꼬치활짝,한식,서울특별시 동작구 신대방2길 2-7 (신대방동),0건,0.7
4670,이레식당,야식,"서울특별시 동작구 성대로31길 71 (상도동,외 1필지)",1건,0.8
4680,쌈반,샤브샤브,"서울특별시 동작구 사당로 215 (사당동, 서림빌딩2층 201호)",0건,0.9
4690,곱창고중앙대점,"곱창,막창,양","서울특별시 동작구 서달로14길 8, 1층 (흑석동)",0건,1.0
4700,토크쇼,"맥주,호프",서울특별시 동작구 매봉로 173 (본동),39건,1.0
4706,소문난포장마차,포장마차,서울특별시 동작구 여의대방로24차길 48 (신대방동),2건,0.6
4716,진1926 보라매,"육류,고기요리","서울특별시 동작구 보라매로5가길 7 (신대방동,캐릭터그린빌213호)",0건,0.8
