업소명,주요메뉴,리뷰,위치,최근 한달간 블로그 리뷰 개수
성원칼국수,"칼국수,만두",좋아요,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",첫번째,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
성원칼국수,"칼국수,만두",,"서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건
유미식당,한식,항상 친절하시고 맛나요:),서울특별시 동작구 사당로 172 (사당동),4건
유미식당,한식,조아요,서울특별시 동작구 사당로 172 (사당동),4건
유미식당,한식,진짜 맛있어요. 특히 냉면 육수가 다른 곳보다 맛있어요!,서울특별시 동작구 사당로 172 (사당동),4건
유미식당,한식,좋아요,서울특별시 동작구 사당로 172 (사당동),4건
유미식당,한식,돌솥비빔밥 맛있어요~ 된장찌개는 새우 맛이 너무 강해서 된장 맛이 별로 안 느껴졌어요,서울특별시 동작구 사당로 172 (사당동),4건
양꼬치 포차,요리주점,아니진짜양꼬치미쳤어요 양념양꼬치 진짜 맛있구 중국냉면 너무맛있고 서비스로 갈지탕 같은 국물까지 주셨어요♡♡,서울특별시 동작구 대림로 12-1 (신대방동),2건
양꼬치 포차,요리주점,좋아요,서울특별시 동작구 대림로 12-1 (신대방동),2건
양꼬치 포차,요리주점,좋아요,서울특별시 동작구 대림로 12-1 (신대방동),2건
양꼬치 포차,요리주점,맛있어요,서울특별시 동작구 대림로 12-1 (신대방동),2건
바다회상,생선회,ㅋㅋ,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,반찬도 다양하게 나오고 회덮밥도 맛있어요! 서비스로 계란찜도 주셨어요💛💛,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,반찬이 잘 나와요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,고등어 야들야들 맛있고 서더리탕도 양많고 시원해요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,처음 왔는데 회가 신선하고 맛있어요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,알탕은 맛있었는데 알밥은 좀 별로내요..,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,회덮밥~무난합니당ㅎ,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아용,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요~,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,고등어구이 짱! 맛있었어요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,맛있어요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요.,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,회덮밥 맛잇게 먹었어요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿이예요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,신선해요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,맛있어요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,좋아요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굿,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,굳,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,가격대비 나쁘지 않습니다,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,싱싱해요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
바다회상,생선회,맛있어요,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건
족발의발견,"족발,보쌈",너무 맛있어요,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",음식이 맛있습니다,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",진짜 너무너무맛있어요 근데 짖짜 너무너무너무너무친절하세요 진짜 엄마아빠같은느낌... 사실 노부부께서 있길래 서비스는 버려야겟구나햇는데 진짜 너무정깊으신 두분 ㅠㅠ 너무잘먹었습니다!,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",좋은 저녁시간 이었어요,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",맛있어요,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",좋아요,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",족발 진짜 맛있어요!! 상추도 완전 신선하고 김치도 많이 주시고 최고에요!!!! 단골될게용,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",굿,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",조아요,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",족발보쌈 맛있어요,서울특별시 동작구 동작대로1길 32 (사당동),17건
족발의발견,"족발,보쌈",예전에 먹어보고 맛있었어서 또 왔어요 👍,서울특별시 동작구 동작대로1길 32 (사당동),17건
