,names,menu,loc,review_num,avg_score
0,업소명,주요메뉴,위치,최근 한달간 블로그 리뷰 개수,0.0
1,성원칼국수,"칼국수,만두","서울특별시 동작구 만양로 26 (상도동,건영상가1층111호)",1건,0.8888888888888888
10,유미식당,한식,서울특별시 동작구 사당로 172 (사당동),4건,0.8
15,양꼬치 포차,요리주점,서울특별시 동작구 대림로 12-1 (신대방동),2건,1.0
19,바다회상,생선회,"서울특별시 동작구 만양로 84 (노량진동, 지층)",53건,0.9512195121951219
60,족발의발견,"족발,보쌈",서울특별시 동작구 동작대로1길 32 (사당동),17건,0.9545454545454546
126,피자스쿨(동작구청점),피자,서울특별시 동작구 장승배기로 164 (노량진동),0건,0.94
226,이태리로간고등어,생선구이,"서울특별시 동작구 보라매로5가길 16 (신대방동,보라매아카데미 202-2)",0건,0.95
326,통통이식당,한식,서울특별시 동작구 만양로8길 64 (노량진동),1건,0.875
334,고씨네중앙대점,카레,서울특별시 동작구 흑석로 83-1 (흑석동),0건,0.8260869565217391
357,두레박,소고기구이,서울특별시 동작구 서달로14길 22 (흑석동),13건,0.9701492537313433
424,홍콩반점0410보라매공원점,중식당,"서울특별시 동작구 보라매로5가길 16, 2층 204호 (신대방동, 보라매아카데미타워)",0건,0.9
524,청원통닭,"치킨,닭강정",서울특별시 동작구 장승배기로 157 (노량진동),1건,0.96
624,응답하라1988,"맥주,호프",서울특별시 동작구 사당로30길 148 (사당동),7건,0.9583333333333334
648,가야성,중식당,서울특별시 동작구 상도로62길 33 (상도동),1건,0.85
748,치킨매니아,"치킨,닭강정",서울특별시 동작구 상도로61길 48 (상도동),0건,0.9
768,불백쌈밥,쌈밥,서울특별시 동작구 노량진로8길 31 (노량진동),1건,0.9310344827586207
797,샤로스톤(숭실대점),"스테이크,립",서울특별시 동작구 상도로61길 8-2 (상도동),0건,0.8857142857142857
832,남도추어탕,추어탕,서울특별시 동작구 성대로1길 10 (상도동),0건,0.8571428571428571
839,애플뷔페,한식뷔페,서울특별시 동작구 노량진로 169 (노량진동),10건,1.0
845,돼지굴뚝,돼지고기구이,서울특별시 동작구 동작대로25길 51 (사당동),8건,0.875
869,아비꼬 보라매점,카레,"서울특별시 동작구 보라매로5가길 16 (신대방동,아카데미보라매타워 203호)",0건,0.93
969,비비큐치킨상도점,"치킨,닭강정",서울특별시 동작구 양녕로 184 (상도동),0건,0.8333333333333334
1029,마루,"치킨,닭강정",서울특별시 동작구 노량진로 114 (노량진동),328건,0.9591836734693877
1078,가가멜식당,한식,"서울특별시 동작구 동작대로27다길 11, 1층 (사당동)",1건,0.8863636363636364
1166,옥이 아구.메기,"아귀찜,해물찜",서울특별시 동작구 사당로10길 7 (사당동),0건,0.9285714285714286
1222,뽑네면,국수,서울특별시 동작구 신대방길 114 (신대방동),0건,0.9230769230769231
1235,어부의 딸,한식,서울특별시 동작구 동작대로25길 9-6 (사당동),0건,0.9583333333333334
1259,이수황제곱창,"곱창,막창,양",서울특별시 동작구 동작대로25길 51 (사당동),2건,0.875
1267,요거프레소 장승배기역점,카페,서울특별시 동작구 상도로15길 134 (상도동),0건,0.946236559139785
1360,와가마마,양식,서울특별시 동작구 만양로14길 12 (노량진동),0건,0.88
1460,전라도시래기국밥,국밥,서울특별시 동작구 여의대방로24길 97 (대방동),0건,0.6666666666666666
1466,초록애,오리요리,서울특별시 동작구 여의대방로54길 5 (대방동),0건,0.98
1566,영동호프,"맥주,호프",서울특별시 동작구 동작대로7길 26 (사당동),4건,1.0
